Authors,Author Full Names,Article Title,Source Title,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Researcher Ids,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Volume,Issue,WoS Categories,Web of Science Index,Research Areas
"Singh, D; Thakur, A","Singh, Dilpreet; Thakur, Akshay","Spatiotemporal Nanocarriers for Circadian-Aligned Drug Delivery: Advances, Challenges, and Future Directions",ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,circadian rhythm; chronotherapy; nanocarriers; spatiotemporal drug delivery; stimuli-responsive nanoparticles; chronopharmacology; chrono-nanomedicine; personalized medicine; smart drug delivery; enzyme-responsive systems; artificial intelligence-integrated nanomedicine; chronotype; translational nanotechnology,CHRONOTHERAPY; SYSTEMS; NANOMEDICINE; NANOPARTICLE; RHYTHMS; TABLETS; DESIGN; CLOCKS,"Circadian rhythms orchestrate a wide array of physiological processes that critically influence drug absorption, distribution, metabolism, and excretion. Misalignment between drug administration and biological timing can compromise therapeutic efficacy, increase adverse effects, and lead to therapeutic failure in diseases with established diurnal variation. Chronotherapy seeks to align pharmacologic interventions with these endogenous rhythms; however, traditional drug delivery systems lack the ability to adapt dynamically to circadian cues. Recent advances in nanotechnology have enabled the development of spatiotemporal nanocarrier systems capable of both anatomical targeting and time-synchronized drug release. These smart nanocarriers leverage internal stimuli (e.g., pH, redox state, enzyme activity) or external triggers (e.g., light, temperature, magnetic fields) to optimize therapeutic action at specific circadian windows. This review provides a comprehensive analysis of circadian biology relevant to drug delivery, current clinical applications of chronotherapy, and emerging preclinical evidence for chrono-responsive nanosystems, enabling technologies such as wearable biosensors, organ-on-chip platforms, and artificial intelligence. We also discuss the translational barriers and future directions in realizing patient-specific, feedback-controlled chrono-nanomedicine. The convergence of circadian pharmacology and intelligent nanocarrier design represents a transformative approach toward achieving precision medicine that targets not only the right site but also the right time.","[Singh, Dilpreet; Thakur, Akshay] CT Univ, Sch Pharmaceut Sci, Sidhwan Khurd, Punjab, India",,"Thakur, Akshay/LGY-8575-2024",123,0,0,5,5,24.0,3,Biochemical Research Methods; Pharmacology & Pharmacy,Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Pharmacology & Pharmacy
"Salari, N; Shams, M; Razavi, FT; Yazdanpanah, E; Oksenych, V; Haghmorad, D","Salari, Nasrin; Shams, Mehrshad; Razavi, Fatemeh Tavassoli; Yazdanpanah, Esmaeil; Oksenych, Valentyn; Haghmorad, Dariush",Trained immunity in cancer and autoimmunity: a double-edged sword in immune memory reprogramming,FRONTIERS IN IMMUNOLOGY,autoimmune diseases; cancer immunotherapy; epigenetic reprogramming; innate immune memory; trained immunity,BACILLUS-CALMETTE-GUERIN; PATTERN-RECOGNITION RECEPTORS; SUPERFICIAL BLADDER-CANCER; INNATE IMMUNITY; SUPPRESSOR-CELLS; BCG VACCINATION; NONSPECIFIC PROTECTION; RANDOMIZED-TRIAL; GUINEA-BISSAU; HOST-DEFENSE,"Trained immunity, characterized by the long-term functional reprogramming of innate immune cells through epigenetic and metabolic modifications, has emerged as a pivotal concept bridging innate and adaptive immune responses. This review explores the dual role of trained immunity as both a protective mechanism in cancer and a pathogenic driver in autoimmune diseases. We first discuss the underlying mechanisms involving histone modifications, chromatin remodeling, and metabolic pathways such as glycolysis and the mTOR/HIF-1 alpha axis, alongside key regulators including NOD2 and pattern recognition receptors. The contribution of trained immunity to antitumor responses is highlighted through its ability to enhance innate cell cytotoxicity, remodel the tumor microenvironment, and synergize with immune checkpoint blockade and BCG immunotherapy. Conversely, we examine how infections, dysbiosis, and dietary factors can induce maladaptive trained immunity, leading to persistent hyperinflammatory states and exacerbation of autoimmune diseases such as rheumatoid arthritis, systemic lupus erythematosus, and multiple sclerosis. Furthermore, we address therapeutic strategies to modulate trained immunity, including small molecules, beta-glucan, statins, and BCG derivatives, emphasizing their potential applications in cancer immunotherapy and autoimmunity control. We also underscore the risks of unintended immune activation, such as autoimmune flare-ups during cancer treatment or compromised host defense during immunosuppression. Finally, we discuss future directions, including the development of trained immunity-based vaccines, personalized immunomodulatory approaches, and the integration of multi-omics and artificial intelligence to design patient-specific interventions. Understanding the complex interplay between trained immunity, cancer, and autoimmunity will be crucial for translating these insights into innovative therapeutic strategies.","[Salari, Nasrin; Razavi, Fatemeh Tavassoli; Haghmorad, Dariush] Semnan Univ Med Sci, Canc Res Ctr, Semnan, Iran; [Salari, Nasrin; Razavi, Fatemeh Tavassoli; Haghmorad, Dariush] Semnan Univ Med Sci, Sch Med, Dept Immunol, Semnan, Iran; [Shams, Mehrshad] Mazandaran Univ Med Sci, Sch Med, Dept Immunol, Sari, Iran; [Yazdanpanah, Esmaeil] Mashhad Univ Med Sci, Immunol Res Ctr, Mashhad, Iran; [Oksenych, Valentyn] Oslo Bioconsulting, Oslo, Norway; [Oksenych, Valentyn] Danylo Halytsky Lviv Natl Med Univ, Dept Microbiol, Lvov, Ukraine",Semnan University of Medical Sciences; Semnan University of Medical Sciences; Mazandaran University of Medical Sciences; Mashhad University of Medical Sciences; Danylo Halytsky Lviv National Medical University,"Haghmorad, Dariush/R-3748-2016",152,0,0,3,3,17.0,,Immunology,Science Citation Index Expanded (SCI-EXPANDED),Immunology
"Ze, YF; Dai, RC; Zhang, YL; Xi, ZC; Xu, HX","Ze, Yufei; Dai, Rongchen; Zhang, Yulong; Xi, Zhichao; Xu, Hongxi",Uncovering the silent invaders: Dormant tumour cells in the brain microenvironment,CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,Tumour cell dormancy; Brain metastasis; Brain Microenvironment; Astrocytes; Microglia; Brain extracellular matrix; Angiogenesis,BREAST-CANCER METASTASIS; EXTRACELLULAR-MATRIX; IMMUNE EVASION; NANOPARTICLES; INSIGHTS; REVEALS; STEPS; MODEL; LUNG; MICE,"Brain metastasis remains a lethal clinical challenge, largely driven by dormant tumour cells (DTCs). This reversible quiescent state enables disseminated cancer cells to evade conventional therapies and eventually cause relapse. This review provides an in-depth overview of the mechanisms through which the unique brain microenvironment orchestrates the dormancy plasticity. We summarize the multicellular crosstalk between brain DTCs and brain resident cells, including astrocytes, microglia, neurons, stromal cells and fibroblasts. The stiffness, degradability and adhesion cues of the brain extracellular matrix (ECM) act as biomechanical switches that critically determine the dormant fate of brain DTCs. Moreover, brain DTCs possess intrinsic self-regulatory programs that leverage epigenetic, metabolic and immune-evasion mechanisms to control their transition between quiescence and proliferation. Despite considerable therapeutic challenges, emerging strategies such as niche-targeting therapies and artificial intelligence-driven computational models offer promising avenues for eradicating dormant reservoirs. A deeper understanding of these complex interactions is essential for developing novel interventions to prevent brain metastatic recurrence driven by DTCs and ultimately improve patient survival.","[Ze, Yufei; Dai, Rongchen; Zhang, Yulong; Xi, Zhichao; Xu, Hongxi] Shanghai Univ Tradit Chinese Med, Sch Pharm, Shanghai 201203, Peoples R China; [Ze, Yufei; Dai, Rongchen; Zhang, Yulong; Xi, Zhichao; Xu, Hongxi] Engn Res Ctr Shanghai Coll TCM New Drug Discovery, Shanghai 201203, Peoples R China",Shanghai University of Traditional Chinese Medicine,"Zhichao, Xi/AAD-5842-2020; Rongchen, DAI/AAQ-8585-2021",94,0,0,3,3,221.0,,Oncology; Hematology,Science Citation Index Expanded (SCI-EXPANDED),Oncology; Hematology
"Bin Abdulrahman, KA; Hefny, MA","Bin Abdulrahman, Khalid A.; Hefny, Mohamed Ahmed","Theoretical evolution of AI in medical education: models, frameworks, and future directions",FRONTIERS IN EDUCATION,adaptive learning; artificial intelligence; cognitive load theory; generative AI; intelligent tutoring systems; medical education; simulation-based medical education,ARTIFICIAL-INTELLIGENCE; HEALTH,"Background Artificial intelligence (AI) is increasingly reshaping medical education through personalized learning, adaptive assessments, and advanced simulations. This systematic narrative review synthesizes the theoretical development of AI in medical training, focusing on educational models, frameworks, learning outcomes, and stakeholder considerations.A literature search of PubMed, Scopus, Web of Science, and Google Scholar (January 2000-March 2025) identified 1,288 records, of which 48 studies met the inclusion criteria and were included in qualitative thematic synthesis. No statistical meta-analysis was conducted due to methodological heterogeneity.Results Five major AI domains emerged: Intelligent Tutoring Systems, Simulation-Based Medical Education, Adaptive Learning, Generative AI, and Explainable AI. These domains align with established instructional theories and contribute to improved engagement and learning efficiency. However, concerns persist regarding learner deskilling, academic integrity, and algorithmic bias. AI integration influences multiple stakeholders, including trainees, educators, clinicians, policymakers, and patients. The field has progressed from rule-based approaches to data-driven machine learning models, enabling personalized instruction. Responsible implementation necessitates addressing pedagogical, ethical, and practical challenges, while also reducing the global digital divide.Conclusions This systematic review provides guidance for educators, researchers, and policymakers on integrating AI effectively and ethically into medical education.","[Bin Abdulrahman, Khalid A.] Imam Mohammad Ibn Saud Islamic Univ IMSIU, Coll Med, Dept Med Educ, Riyadh, Saudi Arabia; [Hefny, Mohamed Ahmed] Suez Canal Univ, Coll Med, Rheumatol & Rehabil Dept, Ismailia, Egypt",Imam Mohammad Ibn Saud Islamic University (IMSIU); Egyptian Knowledge Bank (EKB); Suez Canal University,"Bin Abdulrahman, Prof Dr Khalid/AAW-7051-2021",86,0,0,1,1,11.0,,Education & Educational Research,Emerging Sources Citation Index (ESCI),Education & Educational Research
"Stan, IE; D'Auria, D; Napoletano, P","Stan, Ionel Eduard; D'Auria, Daniela; Napoletano, Paolo","A Systematic Literature Review of Innovations, Challenges, and Future Directions in Telemonitoring and Wearable Health Technologies",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,Medical services; Artificial intelligence; Protocols; Interoperability; Usability; Data security; Data privacy; Wearable devices; Systematic literature review; Law; Telemonitoring; wearable devices; systematic review; digital health; AI in healthcare; interoperability; data privacy; PRISMA 2020,ACTIVITY RECOGNITION; SECURE; DISEASE; SMART; IOT; FRAMEWORK; LIGHTWEIGHT; NETWORK; THINGS; MODEL,"Telemonitoring and wearable devices are transforming healthcare by enabling continuous patient monitoring and personalized interventions. However, their integration remains fragmented due to technical, ethical, and regulatory barriers. This systematic review, following PRISMA 2020 guidelines, synthesizes insights from 165 studies (2020-2024) to assess key advancements and persistent challenges. AI-driven diagnostics show potential but require clinical validation, while energy-efficient communication protocols lack standardization. Data security improvements, such as hybrid encryption, enhance protection but introduce computational overhead. Regulatory misalignment and clinician skepticism hinder interoperability and large-scale adoption. Despite usability advancements, disparities in patient accessibility and clinician engagement highlight the need for human-centered design. To convert promises into practice, we outline a blueprint that pairs harmonized regulatory pathways with explainable, edge-deployed AI, leverages low-latency data exchange, and promotes cross-sector interoperability convergence. Realizing this agenda through longitudinal, multicenter trials and inclusive, community-anchored implementation will unlock equitable and scalable telemonitoring ecosystems.","[Stan, Ionel Eduard; Napoletano, Paolo] Univ Milano Bicocca, Dept Informat Syst & Commun DISCo, I-20126 Milan, Italy; [D'Auria, Daniela] Univ Mercatorum, Dept Engn & Sci, I-00178 Rome, Italy",University of Milano-Bicocca; Universita Telematica Mercatorum,"Napoletano, Paolo/B-2186-2009",196,4,4,3,3,30.0,3,"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Mathematical & Computational Biology; Medical Informatics",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Mathematical & Computational Biology; Medical Informatics
"Rideout, H; Whetton, AD","Rideout, Hannah; Whetton, Anthony D.",Leveraging artificial intelligence in bioacoustics for animal health monitoring and early diagnosis in veterinary medicine,FRONTIERS IN VETERINARY SCIENCE,acoustic listening; acoustic sequences; acoustic sound; animal health; animal sounds; anthropogenic sounds; bioacoustic analysis; veterinary medicine,ACOUSTIC COMMUNICATION; VOCAL COMMUNICATION; BEHAVIOR; WELFARE; CALLS; NOISE; CLASSIFICATION; LOCALIZATION; VOCALIZATION; ACQUISITION,"The study of animal communications, termed zoosemiotics, includes the sub-field of bioacoustics, the study of the production, transmission, and reception of animal sounds. It is becoming increasingly apparent that inter- and intra-species communication is sophisticated with sound playing a major role in this signaling. Artificial intelligence-led research can be employed to understand and combine recorded multi-level data (sound, vision, odors) to classify animal health and identify interventions, also determining critical time-points for intervention. This can include subgroup discovery and trajectory analysis as essential elements in developing animal specific identification of failure to thrive or ill health. It is important that animals, carers, and veterinarians receive as early a diagnosis as possible to predict trajectory and plan care needs and interventions. However, the use of quantitative data for evidence-led interventions based on sound have not yet been developed. Here we look at advances in bioacoustics and provide a framework to determine where early diagnosis and animal health improvements can be made via understanding of behavior and oral sound production.","[Rideout, Hannah; Whetton, Anthony D.] Univ Surrey, Fac Hlth & Med Sci, Sch Vet Med, Vet Hlth Innovat Engine, Guildford, England; [Whetton, Anthony D.] Univ Surrey, Fac Hlth & Med Sci, Sch Biosci, Guildford, England",University of Surrey; University of Surrey,,145,0,0,0,0,13.0,,Veterinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Veterinary Sciences
"Jozani, KA; Shen, K; Anvari, N; Hocevar, D; Jiang, RSN; Zhang, BY; Yakavets, I; Zhao, YM","Jozani, Kimia Asadi; Shen, Karen; Anvari, Nicky; Hocevar, Daniel; Jiang, Rosanna; Zhang, Boyang; Yakavets, Ilya; Zhao, Yimu",From conventional screening to self-driving discovery: Organ-on-Chip platforms as engines for AI-guided nanomedicine,ADVANCED DRUG DELIVERY REVIEWS,Artificial intelligence; Machine learning; Organ-on-a-chip; Nanomedicine; Stem cells; Screening,SOLID LIPID NANOPARTICLES; HUMAN ENDOTHELIAL-CELLS; DRUG-DELIVERY; FERRITIN NANOCAGES; CHEMISTRY; EXOSOMES; BLOOD; BRAIN; BIODISTRIBUTION; CYTOTOXICITY,"Nanoparticles have become an essential platform for next-generation drug delivery and therapeutic development, yet clinical translation remains limited by an incomplete understanding of their interactions within human biological systems. Organ-on-a-chip technology offers a powerful approach to evaluate efficacy and safety of nanomedicine under physiologically relevant conditions in human cells by recreating fluid flow, mechanical stress, barrier function, immune interactions and inter-organ communications. These advanced in vitro systems allow quantitative assessments of nanoparticle transport, distribution, and safety with improved human relevance compared to conventional cell culture and animal models. The integration of sensors within organ-on-achip platforms enables real-time monitoring of tissue responses and nanoparticle kinetics. Advances in automation and robotic liquid handling support scalable and reproducible testing across multiple tissue models. Artificial intelligence and active learning tools facilitate automated data analysis and experimental optimization, paving the way towards self-driving nanomedicine evaluation platforms that accelerate discovery and clinical translation.","[Jozani, Kimia Asadi; Anvari, Nicky; Zhang, Boyang] McMaster Univ, Sch Biomed Engn, 1280 Main St West, Hamilton, ON L8S 4L8, Canada; [Shen, Karen] Univ Hlth Network, Toronto Gen Hosp, Res Inst, Toronto, ON M5G 2C4, Canada; [Shen, Karen; Hocevar, Daniel] Univ Toronto, Dept Chem Engn & Appl Chem, Toronto, ON M5S 3E5, Canada; [Hocevar, Daniel] Univ Toronto, Dept Comp Sci, Toronto, ON M5S 2E4, Canada; [Hocevar, Daniel] Vector Inst, Toronto, ON M5G 0C6, Canada; [Jiang, Rosanna; Yakavets, Ilya; Zhao, Yimu] Univ Toronto, Accelerat Consortium, 160 Coll St, Toronto, ON M5S 3E1, Canada; [Zhang, Boyang] McMaster Univ, Dept Chem Engn, 1280 Main St West, Hamilton, ON L8S 4L8, Canada",McMaster University; University of Toronto; University Health Network Toronto; Toronto General Hospital; University of Toronto; University of Toronto; Vector Institute for Artificial Intelligence; University of Toronto; McMaster University,,219,0,0,13,13,232.0,,Pharmacology & Pharmacy,Science Citation Index Expanded (SCI-EXPANDED),Pharmacology & Pharmacy
"Slouma, S; Romdhane, MB; Skander-Mustapha, S","Slouma, Safa; Romdhane, Marwa Ben-Said; Skander-Mustapha, Sondes","Current State, Challenges, Recommendations and Prospects of Machine Learning Application in Fuel Cell Based Hybrid Electric Cars: A Comprehensive Overview",JOURNAL OF SUSTAINABLE DEVELOPMENT OF ENERGY WATER AND ENVIRONMENT SYSTEMS-JSDEWES,Fuel cell electric vehicle; Machine Learning; Efficient energy management system; Predictive maintenance; Fuel economy,ENERGY MANAGEMENT STRATEGY; PREDICTIVE MAINTENANCE; VEHICLES; MODEL; CLASSIFICATION; OPTIMIZATION; ALGORITHM; SYSTEM,"This paper reviews the current progress and outlook of various applications of machine learning techniques in the context of hydrogen fuel cell electric vehicles. Emphasizing the importance of efficient energy management systems, it presents a detailed comparative analysis of recent developments. Key research works on machine learning-based energy management systems are discussed, including the use of the Twin Delayed Deep Deterministic Policy Gradient algorithm, which has demonstrated up to 28% reduction in overall operational costs. Moreover, the review includes machine learning-based energy management systems approaches that account for fuel cell degradation, an area receiving growing attention due to its impact on performance and longevity. Notably, reinforcement learning strategies have achieved improvements in fuel economy of 5.7% and reductions in fuel cell degradation rates by 4.5%. In addition, robust machine learning-based prediction models are highlighted for their effectiveness in data-driven fault diagnosis, contributing to a 13.9% reduction in fuel usage during the Federal Test Procedure 75 Driving Cycle and a 14.32% reduction in the New European Driving Cycle, along with carbon dioxide emissions cut to less than 26.4%. Despite this progress, existing review papers seldom address the use of machine learning for predictive maintenance in the automotive sector, nor do they adequately consider functional safety aspects. This dual gap underscores the novelty and relevance of the present study. Furthermore, this work uniquely explores the integration of machine learning with smart traffic management systems to optimize hydrogen fuel cell electric vehicle operations and critically examines the defies and potential solutions for advancing hydrogen refueling infrastructure. The paper concludes by discussing major ongoing challenges and offering perspectives for future research in this transformative field.","[Slouma, Safa; Romdhane, Marwa Ben-Said; Skander-Mustapha, Sondes] Univ Tunis El Manar, Ecole Natl Ingn Tunis, LR11ES15 Lab Syst Elect, Tunis 1002, Tunisia; [Slouma, Safa] Univ Carthage, Inst Natl Sci Appl & Technol, Tunis 1080, Tunisia; [Romdhane, Marwa Ben-Said] Univ Gabes, Inst Super Sci Appl & Technol Gabes, Gabes 6029, Tunisia; [Skander-Mustapha, Sondes] Univ Carthage, Ecole Natl Architecture & Urbanisme, Tunis 1002, Tunisia",Universite de Tunis-El-Manar; Ecole Nationale d'Ingenieurs de Tunis (ENIT); Universite de Carthage; Universite de Gabes; Universite de Carthage,"Skander-Mustapha, Sondes/IZP-7744-2023",126,0,0,3,3,14.0,1,Environmental Sciences,Emerging Sources Citation Index (ESCI),Environmental Sciences & Ecology
"Yakubu, M; Wijithilake, N; Shapey, J; King, A; Hammers, A","Yakubu, Mubaraq; Wijithilake, Navodini; Shapey, Jonathan; King, Andrew; Hammers, Alexander",Systematic review of pituitary gland and pituitary adenoma automatic segmentation techniques in magnetic resonance imaging,FRONTIERS IN RADIOLOGY,automatic segmentation; deep learning; magnetic resonance imaging; pituitary adenoma; pituitary gland; semi-automatic segmentation; U-Net; automatic segmentation; deep learning; magnetic resonance imaging; pituitary adenoma; pituitary gland; semi-automatic segmentation; U-Net,EXTERNAL VALIDATION; RADIOTHERAPY; DIAGNOSIS,"Accurate segmentation of both the pituitary gland and adenomas from magnetic resonance imaging (MRI) is essential for diagnosis and treatment of pituitary adenomas. This systematic review evaluates automatic segmentation methods for improving the accuracy and efficiency of MRI-based segmentation of pituitary adenomas and the gland itself. We analysed 34 studies that employed automatic and semi-automatic segmentation methods out of 353 reviewed studies. We extracted and synthesized data on segmentation techniques and performance metrics (such as Dice overlap scores). The majority of reviewed studies utilized deep learning approaches, with U-Net-based models being the most prevalent. Automatic methods yielded Dice scores of 0%-89% for pituitary gland and 4%-96% for adenoma segmentation. Semi-automatic methods reported 80%-92% for pituitary gland and 75%-88% for adenoma segmentation. Most studies did not report important metrics such as MR field strength, age and adenoma size (macro/micro/giant) or even adenoma type and human subject numbers. Automated segmentation techniques such as U-Net-based models show promise, especially for adenoma segmentation, but further improvements are needed to achieve consistently good performance in small structures like the normal pituitary gland. Future progress will require methodological innovation and larger, more diverse datasets to enhance clinical applicability.Systematic Review Registration: https://www.crd.york.ac.uk/PROSPERO/view/CRD42023407127, PROSPERO CRD42023407127.","[Yakubu, Mubaraq; Hammers, Alexander] Kings Coll London, London, England; [Yakubu, Mubaraq; Hammers, Alexander] Guys & St Thomas PET Ctr, London, England; [Yakubu, Mubaraq] Aminu Kano Teaching Hosp, Radiol Dept, Kano, Nigeria; [Yakubu, Mubaraq] Crestview Radiol NOHIL CT & MRI Ctr, Med Artificial Intelligence MAI Lab, Lagos, Nigeria; [Wijithilake, Navodini; Shapey, Jonathan; King, Andrew] Kings Coll London, Biomed Engn & Imaging Sci, London, England; [Hammers, Alexander] Kings Coll London, Sch Biomed Engn Imaging Sci, Res Dept Biomed Comp, London, England; [Hammers, Alexander] Kings Coll London, Sch Biomed Engn & Imaging Sci, Res Dept Early Life Imaging, London, England",University of London; King's College London; University of London; King's College London; University of London; King's College London; University of London; King's College London,"Hammers, Alexander/D-9982-2015",82,0,0,0,0,6.0,,"Radiology, Nuclear Medicine & Medical Imaging",Emerging Sources Citation Index (ESCI),"Radiology, Nuclear Medicine & Medical Imaging"
"Chahar, R; Dubey, AK","Chahar, Ravita; Dubey, Ashutosh Kumar","Machine Intelligence for Mental Health Diagnosis: A Systematic Review of Methods, Algorithms, and Key Challenges",CMC-COMPUTERS MATERIALS & CONTINUA,Mental health; machine intelligence; artificial intelligence; deep learning; mental disorders; diagnostic precision,AUTISM SPECTRUM DISORDER; BIPOLAR DISORDER; DEPRESSION DETECTION; BRAIN CONNECTIVITY; EYE TRACKING; SCHIZOPHRENIA; CLASSIFICATION; ANXIETY; STRESS; FRAMEWORK,"Objective: The increasing global prevalence of mental health disorders highlights the urgent need for the development of innovative diagnostic methods. Conditions such as anxiety, depression, stress, bipolar disorder (BD), and autism spectrum disorder (ASD) frequently arise from the complex interplay of demographic, biological, and socioeconomic factors, resulting in aggravated symptoms. This review investigates machine intelligence approaches for the early detection and prediction of mental health conditions. Methods: The preferred reporting items for systematic reviews and meta-analyses (PRISMA) framework was employed to conduct a systematic review and analysis covering the period 2018 to 2025. The potential impact of machine intelligence methods was assessed by considering various strategies, hybridization of algorithms, tools, techniques, and datasets, and their applicability. Results: Through a systematic review of studies concentrating on the prediction and evaluation of mental disorders using machine intelligence algorithms, advancements, limitations, and gaps in current methodologies were highlighted. The datasets and tools utilized in these investigations were examined, offering a detailed overview of the status of computational models in understanding and diagnosing mental health disorders. Recent research indicated considerable improvements in diagnostic accuracy and treatment effectiveness, particularly for depression and anxiety, which have shown the greatest methodological diversity and notable advancements in machine intelligence. Conclusions: Despite these improvements, challenges persist, including the need for more diverse datasets, ethical issues surrounding data privacy and algorithmic bias, and obstacles to integrating these technologies into clinical settings. This synthesis emphasizes the transformative potential of machine intelligence in enhancing mental healthcare.","[Chahar, Ravita; Dubey, Ashutosh Kumar] Chitkara Univ, Chitkara Univ Sch Engn & Technol, Baddi 174103, Himachal Prades, India",,"Dubey, Ashutosh/C-9356-2015; Chahar, Ravita/OVY-9514-2025",216,0,0,6,6,86.0,1,"Computer Science, Information Systems; Materials Science, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Materials Science
"Ikae, C; Ben Souissi, S; Bieri, JS; Müller, TJ; Feuz-Schlunegger, MC; Golz, C","Ikae, Catherine; Ben Souissi, Souhir; Bieri, Jannic Stefan; Muller, Thomas Jorg; Feuz-Schlunegger, Margarithe Charlotte; Golz, Christoph",A scoping review of natural language processing for detecting work-related stress among health professionals,DISCOVER COMPUTING,Health professionals; Natural language processing; Text mining; Work-related stress,QUALITY; CARE,"Work-related stress among health professionals is increasing due to high workloads, staffing shortages, and emotional strain. Traditional detection methods rely on self-reported data, which are time-consuming and limited in their ability to capture early stress indicators. Natural Language Processing (NLP) offers automated approaches to analyse unstructured text and may support more effective stress detection. This scoping review maps existing NLP methods used to identify work-related stress among health professionals. The review followed the methodology of the Joanna Briggs Institute (JBI) and the Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for Scoping Reviews (PRISMA-ScR). Systematic searches were conducted in PubMed, the Cumulative Index to Nursing and Allied Health Literature (CINAHL), the Cochrane Library, the Association for Computing Machinery (ACM) Digital Library, and Institute of Electrical and Electronics Engineers (IEEE) Xplore, covering the years 2013-2024. Six studies met the inclusion criteria. The majority used mixed-method and retrospective designs, applying topic modelling such as Latent Dirichlet Allocation together with thematic analysis. Commonly identified indicators included psychological distress, substance use, and work-related factors linked to suicide. While NLP shows potential for extracting stress-relevant information, current approaches are limited by retrospective data use and lack of real-time clinical integration. Future work should prioritise anonymous, domain-specific text datasets and evaluate NLP tools in real healthcare settings.","[Ikae, Catherine; Ben Souissi, Souhir] Bern Univ Appl Sci, Sch Engn & Comp Sci, Bern, Switzerland; [Bieri, Jannic Stefan; Feuz-Schlunegger, Margarithe Charlotte; Golz, Christoph] Bern Univ Appl Sci, Sch Hlth Profess, Bern, Switzerland; [Muller, Thomas Jorg] Private Clin Meiringen, Bern, Switzerland; [Muller, Thomas Jorg] Univ Bern, Univ Hosp Psychiat & Psychotherapy, Translat Res Ctr, Bern, Switzerland",University of Bern; University Hospital of Bern,"; Golz, Christoph/AAC-7143-2022; Müller, Thomas J/D-1212-2010; Schlunegger, Margarithe Charlotte/AGQ-6090-2022",82,0,0,1,1,29.0,1,"Computer Science, Information Systems",Science Citation Index Expanded (SCI-EXPANDED),Computer Science
